epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.238,2.81411,2.29611,1.58722,0.08572,0.07716,0.03011,0.01178,2.6626,5.87177,1.72231,2e-05,2e-05,2e-05
2,225.515,3.2412,3.4626,1.55965,0.08585,0.08036,0.0297,0.01204,2.63289,5.71759,1.67961,5.604e-05,5.604e-05,5.604e-05
3,228.27,3.41574,3.3387,1.75857,0.08845,0.08525,0.02989,0.01229,2.5729,5.70024,1.6314,8.68e-05,8.68e-05,8.68e-05
4,231.168,2.65188,3.38863,1.37682,0.09087,0.08525,0.03003,0.01246,2.52206,5.51281,1.58396,0.00011228,0.00011228,0.00011228
5,482.339,2.70772,2.59475,1.28794,0.09199,0.08852,0.02934,0.01204,2.41532,4.95293,1.49807,0.00013248,0.00013248,0.00013248
6,497.57,2.68332,4.66378,1.13582,0.0886,0.0918,0.02875,0.01279,2.32764,4.59137,1.45481,0.0001474,0.0001474,0.0001474
7,500.681,2.02999,2.26609,1.32442,0.08259,0.1082,0.02611,0.01222,2.23596,3.83214,1.37677,0.00015704,0.00015704,0.00015704
8,504.296,1.89532,1.78456,1.06021,0.0822,0.10492,0.02656,0.01216,2.1791,3.45769,1.28767,0.0001614,0.0001614,0.0001614
9,507.059,1.94987,1.86633,1.14284,0.08195,0.10492,0.02383,0.01126,2.13702,3.43102,1.26979,0.00016048,0.00016048,0.00016048
10,510.017,1.50575,2.48052,0.97621,0.08371,0.10164,0.02435,0.01083,2.12222,3.38998,1.24841,0.00015428,0.00015428,0.00015428
11,512.949,2.05391,2.25392,1.16917,0.08406,0.1082,0.02462,0.01092,2.14243,3.35556,1.24186,0.0001428,0.0001428,0.0001428
12,515.869,2.01118,1.61757,1.04227,0.08533,0.10675,0.0276,0.01268,2.13082,3.30313,1.22864,0.00012604,0.00012604,0.00012604
13,518.744,1.94489,1.83628,1.14629,0.08572,0.1082,0.028,0.01271,2.12903,3.29929,1.21764,0.000104,0.000104,0.000104
14,521.604,1.61458,5.15589,1.0488,0.08461,0.1082,0.0254,0.01089,2.10925,3.3214,1.21911,7.668e-05,7.668e-05,7.668e-05
15,524.615,1.78969,2.27487,1.25923,0.07947,0.10164,0.02487,0.01095,2.09775,3.35381,1.21767,4.408e-05,4.408e-05,4.408e-05
